,OP_CPL,USD,2014,2013,Net Sales,Translation,,Contribution Income,,Net Sales,,,,,,,,
Taiwan,$4.3,$3.4,$3.3,,$12.1,$9.1,$8.8,96.2%,NO,-$0.3,,4.0%,3.5%,-0.6%,,USE AW,Taiwan,
South Africa,$2.4,$1.7,$1.4,,$7.8,$5.8,$5.1,88.0%,NO,-$0.7,,13.7%,-6.7%,-20.3%,,USE AW,South Africa,
Argentina Uruguay,$2.4,$1.8,$1.6,,$8.8,$6.7,$5.8,86.5%,NO,-$0.9,,21.3%,24.0%,2.7%,,Argentina Uruguay,#N/A,
Saudi Arabia,$4.1,$2.8,$3.2,,$12.8,$9.5,$10.5,110.2%,YES,$1.0,,21.6%,61.9%,40.3%,,USE AW,Saudi Arabia,
3M Africa Reg,$0.9,$0.7,$0.4,,$6.1,$4.3,$3.4,77.5%,NO,-$1.0,,,,0.0%,,USE AW,#N/A,
Italy,$8.1,$6.4,$6.0,,$43.6,$33.0,$32.0,97.0%,NO,-$1.0,,1.3%,1.1%,-0.2%,,Italy,Italy,
Gulf,$3.2,$2.3,$2.2,,$12.5,$9.4,$8.5,91.0%,NO,-$0.8,,6.7%,-10.5%,-17.2%,,USE AW,Gulf,
Alpine,$5.5,$3.9,$4.1,,$30.5,$22.6,$21.3,94.3%,YES,-$1.3,,7.9%,2.1%,-5.8%,,Alpine,#N/A,
ANZ,$16.8,$12.3,$12.7,,$49.5,$37.3,$35.6,95.5%,YES,-$1.7,,7.1%,5.7%,-1.4%,,ANZ,#N/A,
Nordic,$4.0,$3.1,$2.8,,$34.4,$25.4,$23.5,92.5%,NO,-$1.9,,8.5%,-3.1%,-11.5%,,Nordic,#N/A,
France,$5.6,$4.1,$5.0,,$45.3,$33.4,$31.5,94.2%,YES,-$1.9,,6.2%,-2.8%,-9.0%,,France,France,
Iberia,$3.5,$1.9,$2.6,,$34.6,$25.8,$23.8,92.3%,YES,-$2.0,,1.9%,-0.7%,-2.6%,,Iberia,#N/A,
Canada,$12.2,$11.9,$0.4,,$58.4,$43.0,$39.6,92.2%,NO,-$3.4,,-0.2%,-6.9%,-6.7%,,Canada,#N/A,
Venezuela,$0.4,$0.9,$1.3,,$7.8,$6.4,$2.2,34.2%,YES,-$4.2,,46.2%,-92.7%,-138.9%,,Venezuela,Venezuela,
Japan,$35.5,$27.0,$27.0,,$101.9,$75.5,$70.4,93.2%,YES,-$5.1,,8.1%,3.4%,-4.7%,,Japan,Japan,
China,$29.6,$22.9,$26.4,,$99.7,$76.2,$72.3,94.8%,YES,-$4.0,,24.3%,8.3%,-16.0%,,USE AW,China,
,,,,,,,,,,,,,,,,,,
SUBTOTALS,$244.6,$184.8,$192.8,,"$1,013.1",$755.0,$726.7,96.3%,,-$28.3,,,,,,,,
,,,,,,,,,,,,,,,,,,
proof,$244.4,$184.8,$194.9,,"$1,013.1",$755.0,$726.7,96.3%,,,,,,,,,,
delta,$0.2,$0.0,-$2.1,,$0.0,$0.0,$0.0,0.0%,,,,,,,,,,
,,,"Misc APAC, WE and CEE",,,,,,,,,,,,,,,
